id,name_es,name_en,name_fr,name_pt,name_de,name_it,name_pl,category_es,category_en,subcategory_es,subcategory_en,tags,unit,kcal,protein_g,carbs_g,fat_g,fiber_g,sugars_g,vit_a_ug,vit_c_mg,vit_d_IU,vit_e_mg,vit_k_ug,b1_mg,b2_mg,b3_mg,b5_mg,b6_mg,b9_ug,b12_ug,ca_mg,mg_mg,k_mg,na_mg,p_mg,fe_mg,zn_mg,cu_mg,mn_mg,se_ug,iod_ug,source,updated_at,search_norm
b3ed7b33-c3ee-478f-a744-b5da4e2eb670,Agua con gas,Sparkling water,Eau gazeuse,Água com gás,Sprudelwasser,Acqua frizzante,Woda gazowana,bebidas,Beverages,sin_alcohol,non-alcoholic,"[""gluten_free""]",per_100g,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,drop2_generated,2025-10-22T20:25:59.337096,agua con gas
409268aa-83af-4a32-94e8-4751523d369b,Agua de coco,Coconut water,Eau de coco,Água de coco,Kokoswasser,Acqua di cocco,Woda kokosowa,bebidas,Beverages,sin_alcohol,non-alcoholic,"[""gluten_free""]",per_100g,19.0,0.7,3.7,0.2,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,0,0.0,0.0,0,0,0,0,drop2_generated,2025-10-22T20:25:59.337096,agua de coco
7a9f4e98-31f6-4d73-90bb-f9641b37a550,Agua mineral,Mineral water,Eau minérale,Água mineral,Mineralwasser,Acqua minerale,Woda mineralna,bebidas,Beverages,sin_alcohol,non-alcoholic,"[""gluten_free""]",per_100g,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,drop1_generated,2025-10-22T20:21:34.132789,agua mineral
ff7c5482-9805-4d68-b919-9b4af5f06d46,Bebida de almendras,Almond drink,Boisson à l'amande,Bebida de amêndoa,Mandelgetränk,Bevanda di mandorla,Napój migdałowy,bebidas,Beverages,sin_alcohol,non-alcoholic,"[""gluten_free""]",per_100g,15.0,0.5,0.3,1.1,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,drop1_pad,2025-10-22T20:23:07.655643,bebida de almendras
b71935d8-4c0a-49ec-89d7-2d5de721c20f,Bebida de avena,Oat drink,Boisson à l'avoine,Bebida de aveia,Haferdrink,Bevanda d'avena,Napój owsiany,bebidas,Beverages,sin_alcohol,non-alcoholic,"[""contains_gluten""]",per_100g,43.0,1.0,6.7,1.4,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,drop1_pad,2025-10-22T20:23:07.655643,bebida de avena
224e9414-d02b-4d2a-ba4d-c8b3c53cd279,Bebida isotónica,Isotonic drink,Boisson isotonique,Bebida isotónica,Isotonisches Getränk,Bevanda isotonica,Napój izotoniczny,bebidas,Beverages,sin_alcohol,non-alcoholic,"[""gluten_free""]",per_100g,26.0,0.0,6.6,0.0,0.0,6.6,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0.0,0.0,0,0,0,0,drop1_pad,2025-10-22T20:23:07.655643,bebida isotonica
5874401a-330e-4f28-a215-7f521b8c0c95,Café solo,Black coffee,Café noir,Café preto,Schwarzer Kaffee,Caffè nero,Czarna kawa,bebidas,Beverages,sin_alcohol,non-alcoholic,"[""gluten_free""]",per_100g,2.0,0.1,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,drop1_generated,2025-10-22T20:21:34.132789,cafe solo
21dc0a0a-1e7a-4605-8bec-356885022d8c,Espresso,Espresso,Espresso,Expresso,Espresso,Espresso,Espresso,bebidas,Beverages,sin_alcohol,non-alcoholic,"[""gluten_free""]",per_100g,3.0,0.1,0.5,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,drop2_generated,2025-10-22T20:25:59.337096,espresso
4aba78e2-d28a-4781-b68e-6e51b5ac3410,Ginger ale,Ginger ale,Ginger ale,Ginger ale,Ginger Ale,Ginger ale,Ginger ale,bebidas,Beverages,sin_alcohol,non-alcoholic,"[""gluten_free""]",per_100g,34.0,0.0,8.9,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,drop2_generated,2025-10-22T20:25:59.337096,ginger ale
f7964596-ef5a-415f-9009-34e58fbc74f0,Kombucha,Kombucha,Kombucha,Kombucha,Kombucha,Kombucha,Kombucha,bebidas,Beverages,sin_alcohol,non-alcoholic,"[""gluten_free""]",per_100g,20.0,0.0,5.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,drop2_generated,2025-10-22T20:25:59.337096,kombucha
